month,revenue
2016-09-01,136.23
2016-10-01,51657.53
2016-12-01,19.62
2017-01-01,137006.76
2017-02-01,283621.94
2017-03-01,425656.40
2017-04-01,405988.38
2017-05-01,582926.16
2017-06-01,499827.47
2017-07-01,578858.58
2017-08-01,662071.77
2017-09-01,717195.22
2017-10-01,764785.28
2017-11-01,1172639.23
2017-12-01,861914.46
2018-01-01,1102639.41
2018-02-01,979966.23
2018-03-01,1152736.74
2018-04-01,1156303.91
2018-05-01,1145748.63
2018-06-01,1020494.29
2018-07-01,1039880.16
2018-08-01,996896.15
2018-09-01,166.46
